,Nome do campo,Campo,Tipo,Categoria,Descrição,Características,DBF
0,2-Agravo/doença,,VARCHAR(1),"1-Dengue
2-Chikungunya",Especifica a suspeição do agravo.,"Campo Obrigatório
Preenchendo o código,
a descrição é
preenchida
automaticamente, e
vice-versa.",ID_AGRAVO
1,31-Data da Investigação,dt_investigacao,DATE,,Informar a data da investigação,"Campo obrigatório
- Não aceitar Data da
investigação anterior a
Data de notificação",DT_INVEST
2,32- Ocupação/ramo de atividade econômica,co_cbo_ocupacao,VARCHAR(6),,"Informar a atividade exercida pelo paciente no
setor formal, informal ou autônomo ou sua
última atividade exercida quando paciente for
desempregado. O ramo de atividade
econômica do paciente refere-se as atividades
econômicas desenvolvidas nos processos de
produção do setor primário (agricultura e
extrativismo); secundário (indústria) ou
terciário (serviços e comércio)",,ID_OCUPA_N
3,33- Sinais clínicos (Febre),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,FEBRE
4,33- Sinais clínicos (Mialgia),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,MIALGIA
5,33- Sinais clínicos (Cefaleia),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,CEFALEIA
6,33- Sinais clínicos (Exantema),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,EXANTEMA
7,33- Sinais clínicos (Vômito),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,VOMITO
8,33- Sinais clínicos (Náusea),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,NAUSEA
9,33- Sinais clínicos (Dor nas costas),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,DOR_COSTAS
10,33- Sinais clínicos (Conjuntivite),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,CONJUNTVIT
11,33- Sinais clínicos (Artrite),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,ARTRITE
12,33- Sinais clínicos (Artralgia intensa),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,ARTRALGIA
13,33- Sinais clínicos (Petéquias),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,PETÉQUIA_N
14,33- Sinais clínicos (Leucopenia),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,LEUCOPENIA
15,33- Sinais clínicos (Prova do laço),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,LACO
16,33- Sinais clínicos (Dor retroorbital),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,DOR_RETRO
17,34- Doenças pré- existentes (Diabetes),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,DIABETES
18,34- Doenças pré- existentes (Doenças hematológicas),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,HEMATOLOG
19,34- Doenças pré- existentes (Hepatopatias),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,HEPATOPAT
20,34- Doenças pré- existentes (Doença renal crônica),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,RENAL
21,34- Doenças pré- existentes (Hipertensão arterial),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,HIPERTENSA
22,34- Doenças pré- existentes (Doença ácido-péptica),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,ÁCIDO_PEPT
23,34- Doenças pré- existentes (Doenças auto-imunes),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal clínico ou achados
laboratoriais inespecíficos",Campo obrigatório,AUTO_IMUNE
24,35-Exame sorológico (IgM) Chikungunya Soro 1 Data da Coleta,dt_coleta_exame,DATE,,"Data da Coleta Exame Sorológico (IgM)
Chikungunya soro 1","Campo Essencial
Deve ser maior ou igual à
data de primeiros
sintomas.
Habilitado apenas se
campo 2-Agravo/doença=
2 Chikungunya",DT_CHIK_S1
25,36-Exame sorológico (IgM) Chikungunya Soro 2 Data da Coleta,dt_coleta_exame,DATE,,"Data da Coleta Exame Sorológico (IgM)
Chikungunya soro 2","Campo Essencial
Deve ser maior que a data
da primeira coleta. Não
permitir o preenchimento
se data da primeira coleta
estiver em branco.
Habilitado apenas se
campo 2-Agravo/doença=
2 Chikungunya",DT_CHIK_S2
26,37-Exame PRNT Data da Coleta,dt_coleta_exame,DATE,,Data da Coleta Exame PRNT,"Campo Essencial
Habilitado apenas se
campo 2-Agravo/doença=
2 Chikungunya",DT_PRNT
27,38-Exame sorológico (IgM) Chikungunya Soro 1 Resultado,tp_result_exame,VARCHAR(1),"1-Reagente
2-Não Reagente
3-Inconclusivo
4-Não realizado","Resultado do Exame Sorológico (IgM) soro 1
para Chikunugnya","Campo Essencial
Habilitado apenas se
campo 2-Agravo/doença=
2 Chikungunya",RES_CHIKS1
